period_id,fort_id,start_year,end_year,period_type,period_notes,period_order,name_primary,state_territory
2040,1719,1862,,,,0,Camp Piqua,OH
2061,1740,1862,1865,,,0,Camp Repose,OH
2080,1759,1861,,,,0,Camp Simon Kenton,OH
2033,1712,1862,,,,0,Camp Steubenville,OH
2043,1722,1794,,,,0,Camp Stillwater,OH
2044,1723,1791,,,,0,Camp Sulphur Springs,OH
1994,1674,1861,1864,,,0,Camp Tiffin,OH
2076,1755,1861,1865,,,0,Camp Vance,OH
1997,1677,1812,,,,0,Camp Whetstone,OH
2015,1694,1916,,,,0,Camp Willis,OH
2010,1689,1861,1862,,,0,Camp Worthington,OH
2065,1744,1794,,,,0,Camp at Foot of the Rapids,OH
2094,1773,1780,,,,0,Capt. Henry Byrd's Stockade,OH
2023,1702,1813,1815,,,0,Chillicothe Barracks,OH
2060,1739,1861,1865,,,0,Cincinnati Civil War Camps and Defenses,OH
1990,1670,1764,,,,0,Col. Henry Bouquet's Stockade,OH
1985,1665,1812,,,,0,Columbiana Fort,OH
2014,1693,1917,1919,,,0,Columbus Army Ground School,OH
2013,1692,1861,1865,,,0,Columbus Civil War Camps,OH
2008,1688,1744,,,,0,Con-Cha-Ke Trading Post,OH
2009,1688,1748,1753,,,1,Con-Cha-Ke Trading Post,OH
2011,1690,1750,,,,0,Delaware Trading Post,OH
1980,1660,1758,,,,0,Elk Creek Trading Post,OH
2039,1718,1812,,,,0,Enon Fort,OH
2101,1780,1787,1791,,,0,Erie Trading Post,OH
2102,1780,1793,,,,1,Erie Trading Post,OH
2085,1764,1794,1796,,,0,Fort Adams,OH
2045,1724,1813,1815,,,0,Fort Black,OH
2048,1727,1812,,,,0,Fort Brier,OH
2092,1771,1812,1815,,,0,Fort Brown,OH
2075,1754,1812,1815,,,0,Fort Findlay,OH
2057,1736,1785,1788,,,0,Fort Finney,OH
2006,1686,1863,,,,0,Fort Fizzle,OH
2029,1708,1791,1796,,,0,Fort Frye,OH
2027,1706,1774,,,,0,Fort Gower,OH
2056,1735,,,,Unparsed: unknown dates,0,Fort Harrison,OH
2069,1748,1803,,,,0,Fort Industry,OH
2091,1770,1812,1815,,,0,Fort Jennings,OH
2093,1772,1812,1815,,,0,Fort Junction,OH
2079,1758,1812,1815,,,0,Fort McArthur,OH
2051,1730,,,,Unparsed: unknown dates,0,Fort McKinley,OH
2072,1751,1812,,,,0,Fort Morrow,OH
1995,1675,1812,,,,0,Fort Murray,OH
2078,1757,1812,1817,,,0,Fort Necessity,OH
2047,1726,1813,1815,,,0,Fort Nesbit,OH
2086,1765,1794,,,,0,Fort Randolph,OH
2098,1777,1813,1815,,,0,Fort Seneca,OH
2089,1768,,,,Unparsed: no date,0,Fort Shawnee,OH
2088,1767,1794,1796,,,0,Fort St. Mary's,OH
2096,1775,1812,,,,0,Fort Starvation,OH
2041,1720,1812,,,,0,Fort Staunton,OH
1993,1673,1812,,,,0,Fort Stidger,OH
2003,1683,1750,,,,0,Fort Walhonding,OH
2012,1691,1812,,,,0,Franklinton Fort,OH
2018,1697,1755,,,,0,French Margaret Trading Post,OH
